id;prix_avance;prix_restant;status;date_commande_produit;date_last_modified
1;33239;48862;NONPAYER;2021-06-01;2021-06-01
2;10956;8146;RESTEAPAYER;2021-06-01;2021-06-01
3;94287;80996;NONPAYER;2021-06-01;2021-06-01
4;28601;98083;PAYER;2021-06-01;2021-06-01
5;49313;47154;RESTEAPAYER;2021-06-01;2021-06-01
6;15418;40060;PAYER;2021-06-01;2021-06-01
7;38036;74803;PAYER;2021-06-01;2021-06-01
8;61180;25157;PAYER;2021-06-01;2021-06-01
9;59886;19926;PAYER;2021-06-01;2021-06-01
10;95832;18128;RESTEAPAYER;2021-06-01;2021-06-01
