id;designation;prix;code_produit;taille_produit;image;image_content_type
1;conglomeration Table driver;90798;Grocery;M;../fake-data/blob/hipster.png;image/png
2;Cambridgeshire SCSI Centre;48888;Cotton;XXL;../fake-data/blob/hipster.png;image/png
3;Beauty b GB;58496;Balanced;M;../fake-data/blob/hipster.png;image/png
4;d'Abbeville sexy;60778;Sausages Table;XL;../fake-data/blob/hipster.png;image/png
5;integrate Hat parse;64198;Practical;S;../fake-data/blob/hipster.png;image/png
6;transitional;60225;sensor;L;../fake-data/blob/hipster.png;image/png
7;Fresh B2C Beauty;18100;Chair;XL;../fake-data/blob/hipster.png;image/png
8;Practical;44535;Sausages Corse metrics;M;../fake-data/blob/hipster.png;image/png
9;Shirt orange;2242;indexing Outdoors turquoise;XXL;../fake-data/blob/hipster.png;image/png
10;Table;98601;Movies;S;../fake-data/blob/hipster.png;image/png
